Experimental CDF
      .00   .01   .02   .03   .04   .05   .06   .07   .08   .09
--------------------------------------------------------------------------------
0.0 | 0.5013   0.5049   0.5087   0.5133   0.5178   0.5218   0.5244   0.5292   0.5333   0.5378   
0.1 | 0.5420   0.5458   0.5486   0.5526   0.5558   0.5595   0.5636   0.5668   0.5707   0.5744   
0.2 | 0.5781   0.5823   0.5867   0.5896   0.5933   0.5974   0.6015   0.6054   0.6083   0.6119   
0.3 | 0.6163   0.6201   0.6236   0.6276   0.6300   0.6341   0.6378   0.6413   0.6445   0.6475   
0.4 | 0.6515   0.6553   0.6596   0.6641   0.6682   0.6708   0.6758   0.6800   0.6833   0.6868   
0.5 | 0.6894   0.6931   0.6965   0.7008   0.7044   0.7081   0.7110   0.7150   0.7181   0.7215   
0.6 | 0.7249   0.7271   0.7307   0.7337   0.7370   0.7406   0.7442   0.7466   0.7497   0.7522   
0.7 | 0.7554   0.7588   0.7613   0.7643   0.7682   0.7718   0.7752   0.7782   0.7815   0.7849   
0.8 | 0.7883   0.7917   0.7948   0.7971   0.8004   0.8032   0.8057   0.8086   0.8117   0.8136   
0.9 | 0.8161   0.8183   0.8210   0.8239   0.8265   0.8296   0.8320   0.8349   0.8376   0.8405   
1.0 | 0.8424   0.8451   0.8482   0.8513   0.8535   0.8551   0.8578   0.8599   0.8619   0.8646   
1.1 | 0.8672   0.8691   0.8710   0.8730   0.8750   0.8766   0.8782   0.8802   0.8821   0.8841   
1.2 | 0.8861   0.8882   0.8897   0.8917   0.8932   0.8947   0.8963   0.8978   0.8995   0.9014   
1.3 | 0.9028   0.9050   0.9073   0.9083   0.9097   0.9115   0.9127   0.9144   0.9153   0.9174   
1.4 | 0.9194   0.9205   0.9222   0.9237   0.9244   0.9257   0.9274   0.9288   0.9300   0.9313   
1.5 | 0.9323   0.9335   0.9345   0.9359   0.9375   0.9382   0.9392   0.9405   0.9417   0.9425   
1.6 | 0.9435   0.9446   0.9459   0.9470   0.9482   0.9491   0.9503   0.9510   0.9524   0.9532   
1.7 | 0.9545   0.9555   0.9562   0.9570   0.9581   0.9591   0.9603   0.9609   0.9618   0.9622   
1.8 | 0.9633   0.9641   0.9647   0.9652   0.9661   0.9667   0.9678   0.9690   0.9696   0.9704   
1.9 | 0.9708   0.9717   0.9724   0.9728   0.9734   0.9739   0.9747   0.9756   0.9759   0.9762   
2.0 | 0.9766   0.9769   0.9774   0.9781   0.9789   0.9792   0.9796   0.9801   0.9807   0.9813   
2.1 | 0.9817   0.9820   0.9822   0.9824   0.9829   0.9832   0.9835   0.9838   0.9842   0.9848   
2.2 | 0.9851   0.9852   0.9856   0.9860   0.9864   0.9868   0.9872   0.9875   0.9877   0.9882   
2.3 | 0.9885   0.9889   0.9892   0.9896   0.9898   0.9899   0.9901   0.9903   0.9905   0.9908   
2.4 | 0.9909   0.9913   0.9915   0.9916   0.9920   0.9921   0.9924   0.9927   0.9929   0.9932   
2.5 | 0.9933   0.9936   0.9938   0.9940   0.9942   0.9942   0.9945   0.9949   0.9950   0.9951   
2.6 | 0.9953   0.9956   0.9960   0.9960   0.9961   0.9963   0.9964   0.9964   0.9967   0.9967   
2.7 | 0.9967   0.9967   0.9969   0.9970   0.9971   0.9972   0.9973   0.9975   0.9976   0.9976   
2.8 | 0.9977   0.9978   0.9978   0.9979   0.9980   0.9980   0.9980   0.9980   0.9980   0.9981   
2.9 | 0.9983   0.9986   0.9986   0.9987   0.9988   0.9988   0.9989   0.9989   0.9989   0.9989   
3.0 | 0.9989   0.9989   0.9989   0.9989   0.9989   0.9989   0.9989   0.9989   0.9989   0.9990   
3.1 | 0.9990   0.9990   0.9990   0.9991   0.9991   0.9991   0.9991   0.9991   0.9992   0.9992   
3.2 | 0.9992   0.9992   0.9992   0.9993   0.9993   0.9993   0.9993   0.9993   0.9993   0.9993   
3.3 | 0.9993   0.9993   0.9993   0.9993   0.9993   0.9993   0.9993   0.9993   0.9994   0.9994   
3.4 | 0.9994   0.9995   0.9996   0.9996   0.9996   0.9996   0.9997   0.9997   0.9997   0.9997   
